lon,lat,layer_id,amenities,amenity,area_sqm,id,name,names,radius_m,weight
14.4228514,50.0880157,overpass_historic_memorials_monuments,,,,3828163305,Václav Budovec z Budova,,,1.0
14.4166403,50.0866686,overpass_historic_memorials_monuments,,,,3909170515,,,,1.0
14.4207483,50.0860693,overpass_historic_memorials_monuments,,,,3916044454,Egon Ervin Kisch,,,1.0
14.4148016,50.0859692,overpass_historic_memorials_monuments,,,,3916044456,Johannes Kepler,,,1.0
14.4150611,50.0864189,overpass_historic_memorials_monuments,,,,3918406289,Pražský student,,,1.0
14.4203845,50.0899804,overpass_historic_memorials_monuments,,,,3932093214,svatý Jan Nepomucký,,,1.0
14.4243243,50.0865141,overpass_historic_memorials_monuments,,,,4075275785,Ernst Mach,,,1.0
14.421826,50.0871798,overpass_historic_memorials_monuments,,,,4076385988,Albert Einstein,,,1.0
14.4140378,50.0880712,overpass_historic_memorials_monuments,,,,4234475484,Mikoláš Aleš,,,1.0
14.4230172,50.0911587,overpass_historic_memorials_monuments,,,,4267961025,Josef Mánes,,,1.0
14.4180481,50.0899365,overpass_historic_memorials_monuments,,,,4470455972,Pavel Tigrid,,,1.0
14.4167171,50.0873324,overpass_historic_memorials_monuments,,,,4733812077,Matija Murko,,,1.0
14.4181784,50.085059,overpass_historic_memorials_monuments,,,,4945953597,Informační deska Paláce zemských desek,,,1.0
14.4154982,50.0863408,overpass_historic_memorials_monuments,,,,6052703225,Bohuslav Balbín,,,1.0
14.4182008,50.0847245,overpass_historic_memorials_monuments,,,,6149695438,Friedrich Reinitzer,,,1.0
14.4170715,50.088258,overpass_historic_memorials_monuments,,,,6668030488,FRANTIŠEK RÖSCHEL,,,1.0
14.4213252,50.0873657,overpass_historic_memorials_monuments,,,,8255565801,Panna Maria,"['Panna Maria', 'Mariánský sloup']",,1.0
14.421125,50.0877261,overpass_historic_memorials_monuments,,,,8798184462,Jan Hus,"['Jan Hus', 'Pomník mistra Jana Husa']",,1.0
14.4207285,50.0857273,overpass_historic_memorials_monuments,,,,9268784109,Jan Marek Marci,,,1.0
14.4228959,50.089641,overpass_historic_memorials_monuments,,,,9958589567,Rudolf Klein,"['Rudolf Klein', 'Marta Kleinová']",,1.0
14.4224187,50.0897402,overpass_historic_memorials_monuments,,,,9959231496,Gustav Wotický,"['Gustav Wotický', 'Terezie Wotická']",,1.0
14.4184011,50.0911397,overpass_historic_memorials_monuments,,,,9959279884,Emil Roubíček,,,1.0
14.4185253,50.0910331,overpass_historic_memorials_monuments,,,,9959279885,Eugene Laufer,,,1.0
14.4246742,50.0910176,overpass_historic_memorials_monuments,,,,9959313594,Boris Berkovič,"['Boris Berkovič', 'Josef Berkovič']",,1.0
14.4157184,50.0872663,overpass_historic_memorials_monuments,,,,9990569305,Gabriela Bloch,"['Gabriela Bloch', 'Eva S. Benda', 'Zuzana Steinerová', 'Hedvika Steinerová']",,1.0
14.415633,50.0883767,overpass_historic_memorials_monuments,,,,9990569309,Markus Flesch,"['Markus Flesch', 'Ely Leo Flesch', 'Berta Fischerová', 'Frýda Fleschová', 'Josef Flesch']",,1.0
